concurrency,requests,output_tokens_per_second,requests_per_second,ttft_avg_ms,ttft_p95_ms,itl_avg_ms,itl_p95_ms,decode_avg_ms,decode_p95_ms,prefill_tokens_per_second_per_user,latency_avg_ms,latency_p95_ms
1,100.0,103.20994075825428,2.46206919747744,106.21267255,442.5047863999981,7.270222469027137,8.421324866129032,299.03825975,499.7020708499999,13743.989216444834,405.2509323,716.0189854499977
2,100.0,138.8500223329413,3.3122619831331424,311.43712351999994,513.1517813,7.055327597721455,8.654361703225806,289.10240676999996,480.69375414999996,802.6720983890647,600.5395302899999,775.12098305
4,100.0,144.58802466666512,3.449141809796401,865.2512657899999,1175.970717,6.775347733466463,8.175327749513569,278.53354886,454.61027564999995,417.79826176930857,1143.78481465,1440.01793815
8,100.0,142.90415584560554,3.408973183339827,1985.35332543,2332.2540489,6.84410175313876,8.144201767741935,280.77264348,466.63481664999995,281.1390848462842,2266.1259689099998,2576.0493569499995
