concurrency,requests,output_tokens_per_second,requests_per_second,ttft_avg_ms,ttft_p95_ms,itl_avg_ms,itl_p95_ms,decode_avg_ms,decode_p95_ms,prefill_tokens_per_second_per_user,latency_avg_ms,latency_p95_ms
1,100.0,49.851659454203016,1.1892094335449193,576.9020998799999,1091.34801345,6.3946815247465425,7.004128113261648,262.84290633,415.1746441,264.0614388625061,839.74500621,1504.58461465
2,100.0,50.63237790919145,1.207833442490254,859.8574033099999,1445.45061735,18.761594328402456,45.163565132258064,788.71762447,1804.59477715,195.69385280918257,1648.5750277799998,3234.7738631999996
4,100.0,51.835563389982596,1.236535386211417,1402.22369321,2713.47555165,44.33464617063491,70.25171874516126,1820.15624123,3189.6044887999997,115.56921959881933,3222.37993444,5641.595592199999
8,100.0,52.19285113419873,1.245058471712756,2165.91120389,3623.3137144499997,102.30557149899643,137.6717791638505,4216.05478022,7689.305986649999,72.60429242767229,6381.965984109999,10556.8778491
