concurrency,requests,output_tokens_per_second,requests_per_second,ttft_avg_ms,ttft_p95_ms,itl_avg_ms,itl_p95_ms,decode_avg_ms,decode_p95_ms,prefill_tokens_per_second_per_user,latency_avg_ms,latency_p95_ms
1,100.0,94.50419527937134,2.2543939713590495,106.83472169,443.7317416499981,8.222741713082437,10.672183458064515,335.70790762999997,579.016742,13251.985840187972,442.54262931999995,771.0393387999974
2,100.0,95.50214964935459,2.278200134765138,548.54846361,1855.9079614499994,7.885911712068612,9.52791018830005,325.95528808999995,583.9289941,449.1423653333984,874.5037517,2241.1593608
4,100.0,96.44348868172095,2.300655741453267,1400.31774811,3388.1249829,7.827301684915513,9.40193305483871,323.21728392,543.3222083499999,140.38135290796424,1723.53503203,3646.7288531
8,100.0,97.35063093661151,2.322295585319931,3039.13141105,6970.5312994999995,7.869297397598564,9.408997983870968,319.83072008999994,535.4323291999999,60.7910258267668,3358.9621311399997,7217.6362801000005
