concurrency,requests,output_tokens_per_second,requests_per_second,ttft_avg_ms,ttft_p95_ms,itl_avg_ms,itl_p95_ms,decode_avg_ms,decode_p95_ms,prefill_tokens_per_second_per_user,latency_avg_ms,latency_p95_ms
1,100.0,44.22888147805637,1.0550782795337876,641.9003386699999,1159.6775583499998,7.4556509142037894,8.613670833870968,304.82617095999996,497.07313009999996,230.90086252341527,946.7265096299999,1641.85273915
2,100.0,45.72322014917658,1.0907256714975329,1527.6027393599998,2018.4439717999999,7.34116407970302,8.800542483870968,300.31727106,481.72600179999995,101.32808969565406,1827.92001042,2277.04212775
4,100.0,45.85996277767719,1.0939876616812307,3323.23893028,4171.971757599999,7.424829500727086,8.792811827419353,303.35945932,475.6041604499999,47.58201877524462,3626.5983896,4443.887058249999
8,100.0,45.746842112990485,1.091289172542712,6824.27034313,7730.38276855,7.547305373696874,9.083802037096772,308.58359973,511.85526429999993,24.723237190331023,7132.85394286,7966.449033149999
