concurrency,requests,output_tokens_per_second,requests_per_second,ttft_avg_ms,ttft_p95_ms,itl_avg_ms,itl_p95_ms,decode_avg_ms,decode_p95_ms,prefill_tokens_per_second_per_user,latency_avg_ms,latency_p95_ms
1,100.0,15.620809981654741,0.07623626150148727,9937.86029533,26058.468903349996,13.3190970643555,16.797272606015795,2772.7656637699997,8568.392099499999,83.71900102101581,12710.6259591,34721.6901844
2,100.0,15.782422816533952,0.07702500154482163,22758.67269158,46935.3371648,13.098794846733815,16.45017538414873,2721.2872458499996,8410.9550721,37.26791290232434,25479.959937429998,50844.80375105
4,100.0,15.772067277559616,0.07697446206715283,48469.71506333,79580.6323902,13.065825923727479,16.515287640284118,2722.08119453,8450.53787515,17.983669820437065,51191.79625786,87632.69182544999
8,100.0,15.706736463989497,0.07665561963879695,99120.66408996,149788.43586245002,13.062861780078773,16.461304709706724,2719.95518706,8434.355053399999,9.178798500009828,101840.61927702,155514.19494739998
