concurrency,requests,output_tokens_per_second,requests_per_second,ttft_avg_ms,ttft_p95_ms,itl_avg_ms,itl_p95_ms,decode_avg_ms,decode_p95_ms,prefill_tokens_per_second_per_user,latency_avg_ms,latency_p95_ms
1,100.0,44.104958290726614,1.0521220966299287,642.53255193,1145.4633462,7.513124586318484,8.605637748387096,306.96844675999995,508.34538189999995,230.08883318911288,949.50099869,1649.451987
2,100.0,45.5776101248169,1.0872521499240673,1531.77534152,2009.9159360499998,7.33722091595494,8.564355340296977,301.70966474,507.5167795,101.11577498280535,1833.4850062599999,2255.14131175
4,100.0,45.73923527401699,1.0911077116893366,3330.84512369,4182.9769502,7.477941702882742,9.021780567741935,304.73745714999995,491.3564225999999,47.45123053564134,3635.58258084,4441.51112845
8,100.0,46.017389933432426,1.0977430804731017,6787.626069569999,7775.31146585,7.425978868310291,8.83631468658474,303.39218347,500.48668605,24.916819275762485,7091.01825304,8012.797497699999
